Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
4f5d816b-426b-3ef0-abc7-6aa696987898,Abbey Lawns,,Liverpool,UnitedKingdom,L3 8,53.4328022,-2.9664485,,0.0,54
2ac5726f-f676-393c-bcd9-994bb30afce9,Aberdeen Community Health and Care Village,,Aberdeen,UnitedKingdom,AB11 6,57.1502971,-2.0929115,,0.0,98
3e696670-b4a9-3e26-9b9e-8e9707f95288,Addington Clinic,,Bournemouth,UnitedKingdom,BH2 5,50.7665079,-1.9051141,,0.0,43
74d93c96-fba5-3761-82d3-9f1f90c3ba3a,Alder Grange Nursing Home,,Liverpool,UnitedKingdom,L12 2,53.424459,-2.9036364,,0.0,7
48bf7ed7-47d5-370c-bbd3-cf2b557cbcb8,Alnwick Infirmary,Infirmary Drive nan,Alnwick,UnitedKingdom,NE66 1,55.4111857,-1.6974076,+44 344 811 8111,0.0,4
5e769070-a0d1-3eb9-99e5-4df58fcf5250,Ambulance A&E,,Halifax,UnitedKingdom,HX3 0,53.7049287,-1.858528,,0.0,27
9b14f710-3d3a-3316-bc2f-80561c962894,Ashworth Hospital,,,UnitedKingdom,L39 6,53.5233897,-2.9164306,,0.0,18
19a83667-62ee-388d-b6f6-bc0449b3c7ea,Astley Ainslie Hospital,Grange Loan 133,Edinburgh,UnitedKingdom,EH2 3,55.9308817,-3.1941084,+44 131 537 9000,0.0,267
12442068-e3d5-3de7-87ac-e31fae25b733,Ayr & Ailsa Hospitals,,,UnitedKingdom,KA7 3,55.4326331,-4.6052528,,0.0,7
e2d32791-b3b0-38fd-97d0-462186589b9a,Ayrshire Hospice,Racecourse Road 35,Ayr,UnitedKingdom,KA7 2,55.4527318,-4.6359028,+44 1292 269200,0.0,5
f6cf1352-da34-39c7-8176-3cd97953ea6e,BMI Meriden Hospital,,Coventry,UnitedKingdom,CV2 2,52.4230113,-1.4389501,,0.0,15
df4a6600-0126-378a-a479-d821676b2e8a,BUPA,,Coventry,UnitedKingdom,CV1 2,52.4122287,-1.5090765,,0.0,70
e104b3f3-4f9f-33d4-b0c1-5de66b844e42,Babington Hospital,Derby Road nan,Belper,UnitedKingdom,DE56 1,53.0179759,-1.4850055,,0.0,223
786a2881-1c5d-3f50-9fdc-c52fe1760dfd,Barlborough NHS Treatment Centre,Lindrick Way 2,Chesterfield,UnitedKingdom,S41 7,53.2817625,-1.2834502,,0.0,193
1c5217a0-053d-3e90-91ee-d1dfcb195d5c,Basingstoke and North Hampshire Hospital,,Basingstoke,UnitedKingdom,RG21 4,51.2801535,-1.1107708,,0.0,17
ab7a6080-88b4-351f-a456-c7069525f6e3,Bassetlaw Hospital,Blyth Road nan,Worksop,UnitedKingdom,S80 1,53.3145579,-1.11172,+44 1909 500990,0.0,11
f937db4e-902a-3a14-befb-13bdd281a9ac,Bedford Hospital South Wing,Kempston Road nan,Bedford,UnitedKingdom,MK42 7,52.1283178,-0.475065,,0.0,5
24db4773-aad2-3e38-89f5-3cae5919770d,Beighton Community Hospital,,Sheffield,UnitedKingdom,S20 1,53.3461285,-1.3491573,,0.0,4
7a267a4e-485f-366e-aa7b-ca3a7344c326,Biggart Hospital,,Prestwick,UnitedKingdom,KA9 1,55.4932669,-4.6064365,,0.0,4
6faacebe-dadf-30a7-a630-2d13b3b6b3de,Biggleswade Hospital,,Biggleswade,UnitedKingdom,SG18 0,52.0991142,-0.2455745,,0.0,161
f3cefeef-e15f-3b91-b280-d46fbb3fa2b8,Bishop Auckland General Hospital,Cockton Hill Road nan,Bishop Auckland,UnitedKingdom,DL14 6,54.6561701,-1.6776227,+44 1388 455000,0.0,77
ec14edc0-0c79-33ef-acc0-804935637ef7,Blackpool Victoria Hospital,,Blackpool,UnitedKingdom,FY3 8,53.8212575,-3.0133145,,0.0,15
6632dbad-04ab-3c78-a48f-51b15f72076a,Bodmin Hospital,,Bodmin,UnitedKingdom,PL31 2,50.4666436,-4.7414876,,0.0,53
96c64bb0-257a-30fd-b9cf-2cde0c6a869c,Bramcote Hospital,,,UnitedKingdom,CV11 6,52.5011366,-1.4081492,,0.0,20
7a4c6103-f55c-3fd3-803f-547005e74cbd,Bristol Royal Infirmary,,Bristol,UnitedKingdom,BS2 8,51.4594058,-2.5984938,,0.0,16
26a2d77a-9ad9-3d26-9526-391c7a6bd0ee,Broadoaks Child Development Centre,Balcarres Road nan,Leyland,UnitedKingdom,PR25 2,53.6926153,-2.6903345,+44 1772 621062,0.0,226
654a7cd3-2109-30e9-b562-8cf179a25f3f,Broadway Nursing Home,,Liverpool,UnitedKingdom,L3 8,53.4388199,-2.9333297,,0.0,89
2ee6fb2e-869f-39a3-94b5-2ecccaf71e45,Brooklands Health Centre,,Milton Keynes,UnitedKingdom,MK10 0,52.046342,-0.6766979,,0.0,105
94f01fe8-f416-3f18-918f-ed11798e8522,Broomfield Hospital,Court Road nan,Chelmsford,UnitedKingdom,CM1 7,51.7777333,0.460072,+44 1245 443673,0.0,14
cf4e1a3f-e912-3d96-8822-911079140a6c,Buckland Hospital,Coombe Valley Road nan,Dover,UnitedKingdom,CT16 1,51.1325112,1.2929905,+44 1304201624,0.0,8
d0bc3fc7-aacd-3b22-aea5-f025dfcb6536,Burnley General Hospital,Casterton Avenue nan,Burnley,UnitedKingdom,BB11 1,53.8073299,-2.2301368,,0.0,45
